Year,FullTeam,ID,Payroll
2018,Atlanta Braves,3,120542785
2018,Baltimore Orioles,4,143600045
2018,Boston Red Sox,5,235649368
2018,Chicago Cubs,6,183463459
2018,Chicago White Sox,7,72177640
2018,Cincinnati Reds,8,101185579
2018,Cleveland Indians,35,137346173
2018,Colorado Rockies,10,141339833
2018,Detroit Tigers,11,129917192
2018,Houston Astros,13,159529730
2018,Kansas City Royals,14,129967987
2018,Los Angeles Dodgers,15,186138211
2018,Milwaukee Brewers,16,90237112
2018,Minnesota Twins,17,131374996
2018,New York Mets,19,155765125
2018,New York Yankees,20,168541038
2018,Oakland Athletics,21,68534631
2018,Philadelphia Phillies,22,96848371
2018,Pittsburgh Pirates,23,87860654
2018,San Diego Padres,24,96131798
2018,San Francisco Giants,25,208509901
2018,Seattle Mariners,26,162480174
2018,St. Louis Cardinals,27,161005146
2018,Tampa Bay Rays,28,78231049
2018,Texas Rangers,29,144498078
2018,Toronto Blue Jays,30,162664502
2018,Washington Nationals,32,181586759
2018,Miami Marlins,34,98826644
2018,Los Angeles Angels,36,174592209
2017,Arizona Diamondbacks,2,90730499
2017,Atlanta Braves,3,137339527
2017,Baltimore Orioles,4,161684185
2017,Boston Red Sox,5,174287098
2017,Chicago Cubs,6,170088502
2017,Chicago White Sox,7,109591167
2017,Cincinnati Reds,8,82375785
2017,Cleveland Indians,35,115991166
2017,Colorado Rockies,10,101513571
2017,Detroit Tigers,11,180250600
2017,Houston Astros,13,127443900
2017,Kansas City Royals,14,132091916
2017,Los Angeles Dodgers,15,187989811
2017,Milwaukee Brewers,16,61020089
2017,Minnesota Twins,17,100787500
2017,New York Mets,19,176284679
2017,New York Yankees,20,170389199
2017,Oakland Athletics,21,70601667
2017,Philadelphia Phillies,22,87418378
2017,Pittsburgh Pirates,23,94637833
2017,San Diego Padres,24,34574400
2017,San Francisco Giants,25,176531278
2017,Seattle Mariners,26,155207720
2017,St. Louis Cardinals,27,146630000
2017,Tampa Bay Rays,28,69982520
2017,Texas Rangers,29,178431396
2017,Toronto Blue Jays,30,162353367
2017,Washington Nationals,32,162742157
2017,Miami Marlins,34,115348302
2017,Los Angeles Angels,36,143965833
2016,Arizona Diamondbacks,2,98657436
2016,Atlanta Braves,3,84821541
2016,Baltimore Orioles,4,147943713
2016,Boston Red Sox,5,199864178
2016,Chicago Cubs,6,167444167
2016,Chicago White Sox,7,115998667
2016,Cincinnati Reds,8,93171452
2016,Cleveland Indians,35,98006899
2016,Colorado Rockies,10,113242571
2016,Detroit Tigers,11,199525500
2016,Houston Astros,13,96643000
2016,Kansas City Royals,14,137606125
2016,Los Angeles Dodgers,15,253639162
2016,Milwaukee Brewers,16,62964319
2016,Minnesota Twins,17,104591200
